     Derek Johnston, lab 4            160207     19450187

                            sales commission report

 no  name      sales  min   max   rate   earned     paid
 --  ----      -----  ---   ---   ----   ------     ----
 10  JIM        4,000  300    600   10%     400    $**400
 12  BETH       5,000  500  1,000   20%   1,000    $1,000
 21  TOM        6,000  500  1,325   20%   1,325    $1,325
 30  SALLY        207   50    100   20%      41    $***50
 31  GERRY      7,999  600    700    5%     775    $**700
 39  CINDY      3,751  400    600   19%     713    $**713
 45  SAMMY      5,000  500  1,000   10%     500    $**500
 49  HARVE      5,001  875    900   17%     850    $**850
 52  PHIL       5,002  999  2,000   19%     951    $**951
 60  WILLI      9,003   75    950    8%   1,221    $**950
 61  WANDA      9,006  800  1,000    8%   1,221    $1,000
 68  GEORG      4,564  300    900    7%     319    $**319
 69  IRVIN      4,567  300    900    7%     320    $**320
 70  ROSEM        999   75    200   29%     290    $**290
 75  RONNI      9,999  999  9,999   99%     524    $**524
 77  MARK       4,999  401    900    8%     400    $**401
 88  ERIC       4,998  300    400    9%     450    $**450
 81  BOB            2   10    900   49%       1    $***10
 85  FRANK      9,999    1  1,000    1%     725    $**725
 87  DAVID      8,888   80    800    8%   1,197    $**800
 66  MARIO      5,997  999  2,000   23%   1,504    $1,504
 99  WAYNE      5,998  999  2,000   23%   1,504    $1,504

                        totals          $16,231   $15,286

     number with bonus more than max      4

     number with no bonus less than min   3