030ALLDREN RUTH   21G202000002200000
185DONNEMAN THOMAS06G042300900460000
004ACHER WILLIAM  01N072600500720000
325HATFIELD MARK  01G112200201100000
730REEDE OWEN     09G055501000620000
111CARTOLER VIOLET02G099800701000000
590NEIL CLARENCE  07N006500900100000
801SCHEIBER HARRY 01N100000001000000
956WANGLEY THEO   01N099999101000000
999BAKER RON      03G300001403500000
181DELBERT EDWARD 12G065901300770000
311GROLER GRACE   23N064302000770000
318HANEY CAROL    09G500001405500000
487KING MILDRED   18N091996301000000
834TRAWLEY HARRIS 05N732600507700000
027ALHOUER ELAINE 01G257300202500000
171COSTA NAN      15N035600500400000
317HANBEE ALETA   03G500000305500000
739RIDEL ROBERT   05N019400800200000
806STOCKTON NORMAN06G250700704300000
122CENNA DICK     03N577700406000000
207EBERHARDT RON  05G400700904500000
308GLEASON JAMES  01G500000305000000
568LYNNF GERALD   09N448701304500000
909UDSON DORIS    01N449900304500000
100BATES TONY     08N106602001000000
179DAMSON ERIC    03N250201802500000
292EVERLEY DONNA  03G200001702500000
409ICK MICK       25G999999910500000
607ODELLE NICK    10G250701803000000
825TILLMAN DON    12N044401900500000
214EDMONSON RICK  02N100000001000000
310GORMALLY MARIE 03N302200603000000
332HELD ANNA      02G400000204000000
689OWNEY REED     04N317460303500000
802SHEA MICHAEL   06G203300802300000
102BELLSLEY ART   08G300000903500000
282ESTABAN JUAN   19G405500004500000
322HARLETON JEAN  07N089901201000000
505LAMBERT JERRY  01G400100404000000
921ULL GEORGE     18N229885102500000
105BOYLE RALPH    08N804401407800000
215EDSON WILBUR   06G705000808000000
315HALE ALAN      12N400001604500000
